P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
L,O,LOY_ACRL_ITM_INT,PROMO_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PRTNR_PT_DEBT_QTY,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PT_SUB_TYPE_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,PTSUBTYPE_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_INT,QUALIFYING_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_INT,REPAID_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_INT,RET_EFF_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_INT,STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,TXN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_INT,TXN_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,TYPE_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_INT,USED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,LOY_ACRL_ITM_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ACTION_NOTE,VIEW,VARCHAR2,4000,1000
L,O,LOY_ACRL_ITM_NP,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_NP,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_NP,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_ITM_NP,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,CONFLICT_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ITEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_NP,ACCRUALED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,EXPIRED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ATTRIB_DEFN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,COMMENTS,VIEW,VARCHAR2,1000,250
L,O,LOY_ACRL_ITM_NP,EXPIRATION_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,MEMBER_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,ORDER_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_NP,POINT_BLK_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,PT_BLK_DEBIT_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_NP,PROCESS_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,PROMO_BUCKET_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,PROMO_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,PRTNR_PT_DEBT_QTY,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,PT_SUB_TYPE_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,QUALIFYING_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_NP,REPAID_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_NP,RET_EFF_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_NP,STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_NP,TXN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,TYPE_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_NP,USED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_NP,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,BATCH_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,IMPORT_STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,INTERFACE_ROW_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,ACTION_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,INTERNAL_ACTION_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,FILE_RECORD_NUM,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,INTERNAL_ACRL_ITM_OVN,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,FILE_NAME_SYSTASK_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,REQUEST_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,ERROR_MESSAGE,VIEW,VARCHAR2,4000,3000
L,O,LOY_ACRL_ITM_VOLUME_INT,DISPLAY_NAME,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,PROMO_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_VOLUME_INT,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_ITM_VOLUME_INT,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_ITM_VOLUME_INT,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_VOLUME_INT,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_VOLUME_INT,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,LOY_ACRL_ITM_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,ACTION_NOTE,VIEW,VARCHAR2,4000,1000
